seq,시설 코드,시설 이름,종목,이용료,전화번호,주소
1,S001,검도장,검도,유료,062-373-6292,광주 서구 금화로 278
2,S002,계림 게이트볼장,게이트볼,유료,062-608-2434,광주광역시 동구 독립로384번길 31
3,S003,골드런승마랜드,승마,유료,010-3029-3628,광주 광산구 동곡로 59
4,S004,관덕정,국궁,유료,062-671-8383,광주 남구 중앙로110번길 36 사직공원
5,S005,광주광역시장애인국민체육센터,생활체육관,유료,062-600-3900,광주 서구 금화로 278
6,S006,광주광역시체육회관,생활체육관,유료,062-604-1822,광주 서구 금화로 278
7,S007,광주국제양궁장,양궁,유료,062-654-1114,광주 남구 회재로 1187
8,S008,광주실내빙상장,스케이트,유료,062-380-6880,광주 서구 금화로 278
9,S009,광주여대시립유니버시아드체육관,구기 체육관,유료,062-950-3631~5,광주 광산구 산정동 산 105-1
10,S010,"광주월드컵경기장
보조경기장",육상,유료,062-604-2002,광주 서구 금화로 240
11,S011,"광주월드컵경기장
주경기장",육상,유료,062-604-2612,광주 서구 금화로 240
12,S012,"광주장애인종합복지관
수영장",수영,유/무료,062-513-0977,광주광역시 북구 북문대로 219 시립장애인복지관
13,S013,금호 게이트볼장,게이트볼,유료,062-608-2434,광주 동구 계림동 100-1
14,S014,"남구 청소년수련관
수영장",수영,유료,062-670-5000,광주 남구 봉선로 208
15,S015,남구다목적체육관,생활체육관,유료,062-673-1100,광주 남구 화산로 110
16,S016,남부대시립국제수영장,수영,유료,062-460-2015,광주 광산구 첨단중앙로 23
17,S017,덕흥동 야구장,야구,유료,062-360-7193,광주광역시 서구 덕흥동 146
18,S018,덕흥동 족구장,족구,유료,062-360-7193,광주광역시 서구 덕흥동 146
19,S019,덕흥동 축구장,축구,유료,062-360-7193,광주광역시 서구 덕흥동 146
20,S020,"동구국민체육센터 
체육관",생활체육관,유료,062-351-0076,광주 동구 산수동 519-4
21,S021,동구국민체육센터 수영장,수영,유료,062-351-0076,광주 동구 산수동 519-4
22,S022,동구다목적체육관,생활체육관,유료,062-608-2121,광주 동구 소태동 166
23,S023,"동구문화센터
수영장",수영,유료,062-225-4566/8700,광주광역시 동구 남문로 646 동구문화센터
24,S024,"동구문화센터
체육관",생활체육관,유료,062-225-8700,광주 동구 소태동 524-5
25,S025,"동구청소년수련관
체육관",생활체육관,유료,062-233-7224,광주 동구 학동 719-9
