시설 이름,이용가능시간,이용료,기타
검도장,09:00 ~ 18:00,"어른(1,000), 청소년(800), 어린이(500)",
계림 게이트볼장,"오전 06:00 ~ 12:00
오후 15:00 ~ 18:00",무료,
골드런승마랜드,매일 08:00 - 18:00,,
관덕정,,500,"1회 4시간
선수훈련 : 시설이용(주간 1회, 2시간)"
광주광역시장애인국민체육센터,"주중(월~금) : 09:00 ~ 22:00 
주말(토~일) : 09:00 ~ 18:00","체육행사(50,000)
비영리체육행사(100,000)
영리체육행사(200,000)",
광주광역시체육회관,09:00 ~ 22:00,"탁구 - 일반(5,000) 청소년(4,000)
배드민턴 - 2,000
족구 - 2,000
스쿼시 - 일반(7,000), 청소년(6,000)"," 1.탁구(1층 탁구장 5대)⇒ 강습, 일일(월)이용
- 이용시간 : 09:00~22:00(상시)
- 이용료
1회(2시간) / 1개월 / 3개월
일 반 5,000원/50,000원/120,000원
청소년 4,000원/40,000원/90,000원
- 1개월 강습(이용료+강습료)
일 반 110,000원(50,000원+60,000원)
청소년 100,000원(40,000원+60,000원)
- 3개월 강습(이용료+강습료)
일 반 300,000원(120,000원+180,000원)
청소년 270,000원( 90,000원+180,000원)
 
2. 배드민턴(2층 다목적관 8면) ⇒ 강습, 일일(월)이용
- 이용시간 : 월,화,수,금 18:00~22:00
토,공휴일 09:00~22:00
- 이용료
1회(2시간) / 1개월 / 3개월
일반?청소년 2,000원/30,000원/75,000원
- 1개월 강습(이용료+강습료)
일반?청소년 150,000원(30,000원+120,000원)
- 3개월 강습(이용료+강습료)
일반?청소년 435,000원(75,000원+360,000원)
 
3. 족구(2층 다목적관) ⇒ 일일이용
- 이용시간 : 목요일 18:00~22:00
- 이용료
1회(2시간) : 2,000원(일반?청소년)
 
4. 스쿼시(3층 스쿼시장 4면) ⇒ 강습, 일일(월)이용
- 이용시간 : : 평 일 09:00~14:00, 18:00~22:00
토요일 13:00~1800
- 이용료
1회(2시간) / 1개월 / 3개월
일 반 7,000원/70,000원/180,000원
청소년 6,000원/60,000원/150,000원
- 1개월 강습(이용료+강습료)
일 반 100,000원(70,000원+30,000원)
청소년 90,000원(60,000원+30,000원)
- 3개월 강습(이용료+강습료)
일 반 270,000원(180,000원+90,000원)
청소년 240,000원(150,000원+90,000원)"
광주국제양궁장,10:00~16:00,"1,000","양궁체험학습(무료)
대상: 초등 4학년 이상 누구나
일정: 주중(월, 화, 수, 목, 금)
1일 3회(10시, 14시, 16시)
인원: 1회(2시간) 20명 내외
- 양궁동호인(클럽) 무료이용
대상: 양궁동호인(장비보유자)
일정: 주중, 휴일(토, 일)
시간: 10:00~18:00
이용방법: 선착순 유선신청
안전수칙서약서 작성 및
안전책임관리자 배치
- 예약방법
2주일 전 예약가능 일정확인
(062-654-1114)→ 참가신청서
및 안전수칙서약서 작성
fax: 062-654-1101) →
양궁체험/동호인 이용
대회 및 대표선수 훈련 시
이용시간 변경될 수 있으며,
이용 신청접수현황에 따라
일정, 시간 변경될 수 있음"
광주실내빙상장,"월요일 09:00 - 17:00
평일 09:00 - 17:30 17시 40분까지 이용가능
토요일 오전 09:30 - 11:30
토요일 오후 13:00 - 17:00","성일(4,000), 청소년(3,500), 어린이(3,000)","정빙 시간 - 11:50 ~ 13:00, 15:40 ~ 16:00, 16:40 ~ 17:00"
광주여대시립유니버시아드체육관,09:00 ~ 18:00,,"? 이용절차
  - 1. 신청서 작성
  - 2. 사용계약 또는 이용료 납입
? 선정방법
  - 사용신청 순위 및 시조례의거 우선순위 "
"광주월드컵경기장
보조경기장",09:00 ~ 18:00,400,"▶ 이용금액

- 평일 500,000원 

- 주말 : 750,000원"
"광주월드컵경기장
주경기장",09:00 ~ 18:00,400,1회 : 2시간
"광주장애인종합복지관
수영장","월~금
08:00~18:00
토요일
09:00~17:00
휴장
(12:00~13:30)","수영장 - 성인(4000), 중고생(3000), 초등생 및 장애인 보호자(2000)",
금호 게이트볼장,"동절기 09:00~17:00
하절기 07:00~19:00",무료,
남구 청소년수련관 수영장,평일 06:00~21:00?,,http://www.ngyouth.co.kr/page/swim_schedule
남구다목적체육관,주중 09:00 ~ 18:00,,http://namgumultigym.co.kr/main/?
남부대시립국제수영장,"평일 06:00 - 20:30
토요일 06:00 - 17:00
일요일 및 공휴일 09:00 - 17:00","성인(5000), 청소년(4000), 어린이(3000)",https://worldswimming.nambu.ac.kr/home/%EB%A9%94%EC%9D%B8
덕흥동 야구장,?09:00 ~ 22:00,"평일(30,000), 토.공휴일(40,000)","개방시간 : 평일 09:00 ~ 22:00, 주말,공휴일 09:00 ~ 22:00
 
? 사용료안내
체육활동
체육활동 외
기 준
평 일
토ㆍ공휴일
비영리 행사
영리 행사
30,000원
40,000원
120,000원
240,000원
2시간
 
? 이용료 : 유료(서구 체육시설 관리운영조례 의거)
- 운동장 사용자는 시설물의 운영규정 및 이용수칙, 허가조건 등을 지켜야 합니다.
- 잔디 보호를 위하여 차량, 오토바이, 자전거, 전동킥보드, 애완동물 등 출입을 금지합니다.
- 운동장 내 흡연, 화기사용 및 취사, 골프연습 등의 행위를 금지합니다.
- 음식물 반입은 안되며, 쓰레기는 규격봉투를 사용하시기 바랍니다.
- 반드시 운동화를 착용하고 이용하여 주십시오.
- 고의 또는 과실로 인한 시설물 훼손의 경우 원상복구 또는 변상하여야 합니다."
덕흥동 족구장,?09:00 ~ 22:00,"평일(30,000), 토.공휴일(40,000)",
덕흥동 축구장,?09:00 ~ 22:00," 사용료안내
체육활동
체육활동 외
기 준
평 일
토ㆍ공휴일
비영리 행사
영리 행사
30,000원
40,000원
120,000원
240,000원
2시간
","이용료 : 유료(서구 체육시설 관리운영조례 의거)
- 운동장 사용자는 시설물의 운영규정 및 이용수칙, 허가조건 등을 지켜야 합니다.
- 잔디 보호를 위하여 차량, 오토바이, 자전거, 전동킥보드, 애완동물 등 출입을 금지합니다.
- 운동장 내 흡연, 화기사용 및 취사, 골프연습 등의 행위를 금지합니다.
- 음식물 반입은 안되며, 쓰레기는 규격봉투를 사용하시기 바랍니다.
- 반드시 운동화를 착용하고 이용하여 주십시오.
- 고의 또는 과실로 인한 시설물 훼손의 경우 원상복구 또는 변상하여야 합니다."
"동구국민체육센터 
체육관","수영 - 평일(06:00 ~ 21:00), 토요일(06:00 ~ 18:00), 일,공휴일(09:00 ~ 18:00)","성 인 60,000
(1개월)
청소년 45,000
(1개월)
어린이 35,000
(1개월)
1회(1시간)성인 4,000
청소년 3,500
어린이 3,000",
동구국민체육센터 수영장,"수영 - 평일(06:00 ~ 21:00), 토요일(06:00 ~ 18:00), 일,공휴일(09:00 ~ 18:00)","성 인 60,000
(1개월)
청소년 45,000
(1개월)
어린이 35,000
(1개월)
1회(1시간)성인 4,000
청소년 3,500
어린이 3,000",
동구다목적체육관,"09:00~22:00(공휴일 09:00~18:00) ※ 매월 둘째 주, 넷째 주 일요일 휴관","이용료: 월 회원 20,000원 (동구 주민일 경우 10,000원)
              2시간 당 2,000원 ",
"동구문화센터
수영장","월수금 : 8:00~8:50 / 14:00~15:50 / 18:00~18:50

화목 : 8:00~8:50 / 14:00~20:50

토 : 8:00~8:50 / 14:00~17:50

일 : 09:00~12:50 / 14:00~17:50",전화 또는 방문 문의,https://www.donggucc.kr/www/cmd.do?opencode=pg_0701
"동구문화센터
체육관","월~금 06:00-21:00
토 06:00-18:00
일 09:00-18:00
(첫째,셋째주휴관)",전화 또는 방문 문의,https://www.donggucc.kr/www/cmd.do
"동구청소년수련관
체육관","화 ~ 금 (09:00 ~ 21:00)
토, 일(09:00 ~ 18:00)
(휴관 : 월요일 및 공휴일)","청소년(4000), 일반(8000)",http://dgyouth1318.or.kr/
동림 다목적체육관, 09:00~22:00,"성인(2000), 청소년(1500). 어린이(1000)","선수반
유소년 농구
매월 1인 50,000원
화,목,토,일 17:30~19:30
탁구
매월 1인 50,000원
월,금 16:00~18:00
토,일 13:00~15:00
배드민턴
매월 1인 50,000원
토,일 13:00~15:00
수,금 16:00~18:00
취미,
생활반
유소년 농구
매월 1인 50,000원
월.수,금
18:00~20:00
배드민턴
매월 1인 50,000원
화,목 16;00~17:30
탁구
매월 1인 50,000원
펑일 19:00~22:00
라지볼
(65세이상)
매월 1인 28,000원
펑일 14:00~18:00
"
동림동 친수공원,- 주중(월~금) : 09:00 ~ 18:00 - 주말(토~일) : 09:00 ~ 18:00,무료,
두암체육공원 족구장(두암3동 제2순환도로 하부),상시개방,무료,
마륵동 축구장,"개방시간 : 평일 09:00 ~ 22:00, 주말,공휴일 09:00 ~ 22:00","평 일
토ㆍ공휴일
비영리 행사
영리 행사
30,000원
40,000원
120,000원
240,000원
2시간","이용료 유료 방문 및 전화접수 필수
부대시설 : 화장실
수용인원 : 60 명
면적 : 12,150㎡ / 축구장 3면(90m×45m), 천연잔디"
마재게이트볼장,"동절기 09:00~17:00, 하절기 07:00~19:00",무료,예약 접수로 선착순으로 선정
매곡위드배드민턴,"평일 09:00 ~ 23:30
공휴일 09:00 ~ 11:00","일일권 : 4,000
한달권 : 40,000",실설내에 배드민턴샵 배치
"모아레포츠타운
골프연습장",06:00-22:30(동계 21년2월말까지),"골프연습장 비용 : 1일권 14,000원, 
1개월 150,000원(1일1회 70분)","시설 : 샤워실, 주차장
시설정보가 잘나와있는 블로그
https://blog.naver.com/p2521/222192212041"
 무등야구장 ,09:00 ~ 18:00,40000,https://web.archive.org/web/20110719170750/http://sports.gjcity.net/
무등정,"동호인들 한정 24시간개방
일반인은 문의","이용료 전화 문의, 현장 문의",https://cafe.naver.com/anarcheryfield
문화게이트볼장,상시개방,,"문화근린공원 내부 시설
시설 : 화장실, 주차장"
문화근린공원,상시개방,,"시설 : 화장실, 주차장
체육시설 : 배드민턴장, 게이트볼장, 축구장, 운동시설구비"
"문화근린공원
인조잔디구장",사용시간 : 06:00 ~ 18:00,"주중(20,000), 주말(30,000)","광주광역시 체육시설 예약시스템 홈페이지에서 예약
https://bukgu.gwangju.kr/index.es?sid=c1"
발산 게이트볼장,상시개방,,"문화체육과 체육시설팀 062-360-7029
를 통해 누구나 무료로 이용가능
시설 : 관리실 1개동, 장애인용 이동식화장실"
보라매축구공원,"하절기(5월~9월) : 06:30 ~ 19:00
동절기(10월~4월) : 07:30 ~ 18:00","사용료
체육행사 : 50,000원
(1회 2시간 기준)
비영리행사 : 100,000원
(1회 2시간 기준)","수용인원 : 2,000명
시설 : 주차장, 화장실"
봉선 테니스장,"주중(월~금) : 09:00 ~ 20:00 /
 주말(토~일) : 09:00 ~ 20:00","주간1일 사용료(2시간)
성인 : 3,500 청소년 : 2,500 어린이 :1,800
주간 1월 사용료(30일)
성인 : 30,000 청소년 : 21,000 어린이 : 15,000","면적 : 연면적 2,442㎡
수용인원 : 100명
부대시설 : 테니스코트 4면"
"북구 건강복지타운
(우산수영장)","월~금요일 : 06:00~21:00
토요일 : 06:00~18:00
일요일(2, 4주), 공휴일 : 09:00~18:00
매월 첫번째, 세번째 일요일 / 명절연휴","수영/1개월/성인
60,000원
수영/1개월/청소년
50,000원
수영/1개월/어린이
40,000원",http://bgsc.kr/
북구 국민체육센터," 주중(월~금) : 06:00 ~ 22:00(단, 프로그램에 따라 시간이 다름)
 - 주말(토~일) 및 공휴일 : 운영안함",대관(유료) : 유선 및 방문접수,"면적 : 체육관 786㎡(연면적 2,246㎡), 지상3층 규모
수용인원 : 체육관 1500명
부대시설 : 헬스장, 다목적실, 요가실 등"
"북구종합운동장
야구장","하절기(4 ~ 10월) 
- 2시간 기준(2시간 간격 12:00~13:00 점심시간)
 06:00 ~ 19:00
동절기(11~3월)
08:00 ~ 17:00","주중(10,000), 주말(15,000)","광주광역시 체육시설 예약시스템 홈페이지에서 예약
https://bukgu.gwangju.kr/index.es?sid=c1"
북구태봉생활체육관,주중 및 주말(월~일) : 06:00 ~ 23:00,"1일 사용 : 8시간 기준
체육행사
1일 : 50,000
토·공휴일 및 야간 사용시는
주간사용료의 100분의 50을
각각 가산
체육행사 외 영리
1일: 200,000
비영리
1일 : 100,000","면적 : 부지 1,355㎡(연면적 1,784㎡), 2층·3층(체육관,다목적실)
수용인원 : 체육관 700명
부대시설 : 다목적 체육관, 강당 등"
빛고을 체육관,,"2,000",
빛고을국민체육센터,"평일 : 06:00 ~ 21:00
토요일 : 06:00 ~ 18:00
일요일 : 09:00 ~ 18:00",,"4F 배드민턴체육관, 금융복지상담센터, 건강강좌, 광산구생활체육회, 체육용품점
3F 헬스장, 태권도장, GX룸, 다목적실
2F 안내데스크, 수영장, 열린공간휴게실
1F 광산구시설관리공단, 어린이집, 커피숍
B1F 지하주차장, 기계실, 전기실, 중앙제어실"
"빛고을국민체육센터
수영장","  주중(월~금) : 06:00 ~ 21:00
  주말(토) : 06:00 ~ 18:00
  주말(일) : 09:00 ~ 18:00
  정기휴관 : 매월 1,3주 일요일, 기타 지정 휴관일","개인 일반인 : 4,000
군경 · 청소년 : 3,500
어린이 : 3,000
월회원 (1개월권)
개인 일반인 : 56,000
군경 · 청소년 : 47,500
어린이 : 36,000",안내데스크에서 등록후 이용가능
빛고을노인건강타운 수영장,"09:00~17:00(월~금)
 / 수질 정화시간 (12:00~13:00)","?월권 강습료(40,000원), 월권 자유수영(35,000원), 일권(3,000원)",http://www.bitown.or.kr/home/utilization.php?mid=41
빛고을노인건강타운 체육관,,"내부시설 : 식당 1식 : 2,000
목욕탕 1회 : 2,000
물리치료실 1회 : 1,500
노래방 1곡 : 200
당구장 개인/1시간 : 1,000
탁구장 개인/1시간 : 1,000
헬스장 1개월 : 10,000",http://www.bitown.or.kr/home/
"산동교 친수지구
축구장",06:00~18:00 (1회 2시간),예약시 문의,"광주광역시 체육시설 예약시스템 홈페이지에서 예약 https://bukgu.gwangju.kr/index.es?sid=c1"""
산수 게이트볼장,매일 오전: 06:00 ~ 12:00 / 매일 오후 15:00~ 18:00,무료,"부대 시설 : 주차장, 화장실
동구청 인권청년과 체육진흥계(608-2434)"
삼정게이트볼장,상시개방,무료,
상무게이트볼장,"동절기 09:00~18:00, 하절기 07:00~20:00",무료,예약 접수로 선착순으로 선정
상무시민공원 농구장,상시개방,무료,"면적 : 440㎡
수용인원 : 농구장1면"
상무시민공원 배구장,연중 가능,무료,"면적 : 360㎡
수용인원 : 배구장 1면"
상무시민공원 배드민턴장,상시개방,무료,"면적 : 870㎡
수용인원 : 배드민턴코트 4면"
"상무시민공원
종합운동장","?동절기(11월~3월) : 09:00~17:00 
/ 하절기(4월~10월) : 07:00~19:00","평일(33,000), 토.공휴일(42,900)","면적 : 27,260㎡ / 축구장 1면(68m×110m), 인조잔디
수용인원 : 40명
부대시설 : 주차장, 화장실, 트랙 등"
"상무시민공원
테니스장",상시개방,무료,"면적 : 870㎡
수용인원 : 테니스장 3면
부대시설 : 화장실"
상무인공암벽장,"?동절기(11월~3월) : 10:00~18:00 
/ 하절기(4월~10월) : 10:00~21:00
토요일 및 공휴일 : 10:00~18:00",무료,"현장안전 수칙 준수
현장 스포츠 클라이밍교실 운영 
운영 방침에 따라 시간표가 변경될 수 있음"
서광게이트볼장,"동절기 09:00~17:00, 하절기 07:00~19:00",무료,예약 접수로 선착순으로 선정
서구 국민체육센터,이용 시간 : 06:00 ~ 22:00,"다목적 체육관 이용요금
1일 140,000원 
4시간: 80,000원
 야간 : 80,000원 ",https://www.seogu.gwangju.kr/intro/intro_20201218.html
"서구문화센터
체육관",,,http://www.seomunsen.or.kr/index.php
서창게이틀볼장,"동절기 09:00~17:00, 하절기 07:00~19:00",무료,예약 접수로 선착순으로 선정
"서향순올림픽제패
기념 양궁장",,,"광주 월드컵 경기장 인근에 위치하는데
 기념관인지 양궁장인지 알수가 없음"
송무정,연중운영,"회원 입회비 : 300,000
월 회비 : 30,000",입회를 위한 심사과정이 있음
송정1교구장,연중운영,무료," 면적 : 12,000㎡(2면, 토사구장 2면)
수용인원 : 야외운동장 100명
부대시설 : 주차장 등"
수완 인라인롤러경기장,"월~금 09:00~12:00, 18:00~22:00 
/ 토 13:00~22:00 / 일 09:00~22:00","이용료
1회(2시간) / 1개월
일 반/월회원 2,000원/30,000원
어린이/월회원 1,400원/21,000원
단 체/월회원 1,400원/21,000원","면적 : 19,233㎡
수용인원 : 620명
부대시설 : 주차장 , 농구장 등"
승촌게이트볼장,,무료,"부대시설 : 면적 2029㎡로 실외코트 1면,
 실내인조잔디 1면, 락커룸, 탕비실 등"
승촌공원 축구장,하절기(4월~9월)06:00~09:00/09:00~12:00/13:00~16:00 동절기(10월~익년3월)07:00~10:00/10:00~13:00/14:00~1,"※이용료: 월~금: 40,000원

            토,공유일: 50,000원",
승촌공원 농구장,하절기(4월~9월)06:00~09:00/09:00~12:00/13:00~16:00 동절기(10월~익년3월)07:00~10:00/10:00~13:00/14:00~1,무료,
쌍암공원 인조잔디 축구장,연중운영,"대관(유료) : 유선접수
체육행사
주 간 40,000 / 30,000
야 간 50,000 / 40,000
체육행사이외
주 간 70,000 / 50,000
야 간 100,000 / 70,000
○기본사용시간(2시간)",
안청공원테니스장,연중운영,"개 안 일 반 1회 1시간 2,000원
월회원 일 반 1회 1시간 30,000
야간사용료는 기본사용료의 20% 가산",
여성발전센터 수영장,"이용 시간 월~금 06:.00~21:00
매월 2,4째주 휴무
법정공유일 휴장","강습반:월 60,000원
실버수중걷기반:월 60,000원
자유수영:1시간 3000원",
염주 종합체육관,평일07:00~22:00/ 토.공휴일09:00~19:00,"2,000원",
염주 테니스장,평일07:00~22:00/ 토.공휴일09:00~19:00,"
평일 주간 20,000원
야간 30,000원
주말 및 공휴일 주간 30,000원
야간 39,000원
월이용료
(1인 기준)
어 른 34,500원
청소년 26,900원
어린이 19,800원",
염주골프센터,"하절기(3월~11월) : 05:30 ~ 24:00
동절기(12월~2월) : 05:30 ~ 23:00","1회권 13,000원
60회(4개월) 150,000원
60회(6개월) 180,000원
180회(6개월) 410,000원
210회(5개월) 410,000원",
"올림픽기념
국민생활관",1회 4시간,대관 / 개인이용불가,
용산 게이트볼장,매일(오전)6시~12시 / 매일(오후)3시~18시,무료,
용산생활체육시설 인조잔디구장,평일 17:00~21:00/ 토요일 13:00 이후/ 일요일 17:00~21:00,"대관시 평일(15,000), 공휴일(15,000)",
"운남생활체육시설단지
야구장",연중무휴,무료,
운남체육시설단지 축구장,연중운영,"무료
대관(무료) : 유선접수",
월곡공원테니스장,연중운영,"개인 일반 1회 1시간 2,000원
월회원 일반 1회 1시간 30,000원
야간 사용료는 기본 사용료의 20%가산",
유덕동 족구장,"개방시간 : 평일 09:00 ~ 22:00, 주말,공휴일 09:00 ~ 22:00",무료,
,,,
전천후게이트볼장,09:00 ~ 18:00,이용료 : 무료,
전천후테니스장,"평 일 07:00-22:00
토·공휴일 09:00-19:00","평일 주(20,000), 야(30,000), 주말 주(30,000), 야(39,000)",
중흥 정구장, 월~일 09:00~12:00,"10,000원",
진월국제테니스장,이용시간 : 06:00~22:00(상시),"평일 주간 3,500원
야간 4,500원
주말 및 공휴일 주간 6,900원
야간 9,000원",
첨단 전천후게이트볼장,주중(월~금) : 09:00 ~ 18:00/ 주말(토~일) : 09:00 ~ 18:00,"전천후게이트볼장
개 인 일 반 1회 2시간 2,000
월회원 일 반 1회 2시간 40,000 ",
첨단다목적체육센터,"월~금요일 : 09:00~22:00 
토요일 : 09:00~18:00
첫째,셋째 일요일 휴무","일권 2,000원(2시간) 1,300원(2시간) 1,000원(2시간) 1,000원(2시간)
월권 40,000원(2시간) 30,000원(2시간) 20,000원(2시간) 20,000원(2시간)",
첨단대상파크골프장,"하계(4월~9월) 08:00~19:00, 동계(10월~3월) 09:00~18:00","이용료
1회(2시간) / 1개월
일 반/월회원
2,000원/40,000원
어린이,장애인,,국가유공자
개인/월회원 1,000원/20,000원
노인(65세이상)
수급권자
다자녀(3명이상)
개인/월회원 14,000원/28,000원
클럽대여로(공포함)
개인/월회원 1,000원/10,000원",
첨단종합운동장 소프트볼장(3면),연중무휴,유선 및 인터넷 접수,
"첨단종합운동장
야구장",연중무휴,무료,
"첨단종합운동장
축구장",연중운영,대관(무료) : 유선접수,
첨단체육시설 게이트볼장,연중무휴,각 종목별 연합회에 사전 문의 후 사용가능/유선 및 인터넷 접수,
치평게이트볼장,"동절기 09:00~17:00, 하절기 07:00~19:00",무료,
테이크의 스킨스쿠버,연중무휴,체험다이버 이용가능 : 유선접수,http://www.gotaketeam.com/
풍암게이트볼장,"동절기 09:00~17:00, 하절기 07:00~19:00",예약접수,
풍암생활체육공원 농구장,"동절기 09:00~17:00, 하절기 07:00~19:00",무료/예약접수,
풍암생활체육공원 배구장,"개방시간 : 평일 09:00 ~ 22:00, 주말,공휴일 09:00 ~ 22:00",무료,
풍암생활체육공원 정구장,08:00 ~ 22:00,무료/예약접수,
풍암생활체육공원 족구장,"동절기 09:00~17:00, 하절기 07:00~19:00",무료/예약접수,
"풍영 체육시설단지
축구장","하계 월 ~ 일 08:00 ~ 23:00, 동계 월 ~ 일 09:00 ~ 23:00 (연중운영)","체육행사 
주 간 40,000 / 30,000
야 간 50,000 / 40,000
체육행사이외 
주 간 70,000 / 50,000
야 간 100,000 / 70,000
○기본사용시간(2시간)
",
"풍영체육시설단지 
정구장","평일, 주말08:00~23:00",유료/ 전화문의,
하남스포츠파크 축구장,연중운영,"체육행사이외 주 간 70,000/50,000
야 간 100,000/70,000
",
홀스앤팜 승마클럽,월요일 휴무,"일반체험 : 1회 20분 40,000원
학생체험 : 1회 20분 30,000원",
