CODE,시설 이름,이용가능시간,이용료,기타
A001, 무등야구장 ,09:00 ~ 18:00,,
A002,검도장,09:00 ~ 18:00,"어른(1,000), 청소년(800), 어린이(500)",
A003,계림 게이트볼장,"오전 06:00 ~ 12:00
오후 15:00 ~ 18:00",무료,
A004,고저ic 풋살장,,,
A005,골드런승마랜드,매일 08:00 - 18:00,,
A006,관덕정,,,"1회 4시간
선수훈련 : 시설이용(주간 1회, 2시간) 500원"
A007,광주 첨단승마클럽,,,
A008,광주광역시장애인국민체육센터,"주중(월~금) : 09:00 ~ 22:00 
주말(토~일) : 09:00 ~ 18:00","체육행사(50,000)
비영리체육행사(100,000)
영리체육행사(200,000)",
A009,광주광역시체육회관,,"탁구 - 일반(5,000) 청소년(4,000)
배드민턴 - 2,000
족구 - 2,000
스쿼시 - 일반(7,000), 청소년(6,000)"," 1.탁구(1층 탁구장 5대)⇒ 강습, 일일(월)이용
- 이용시간 : 09:00~22:00(상시)
- 이용료
1회(2시간) / 1개월 / 3개월
일 반 5,000원/50,000원/120,000원
청소년 4,000원/40,000원/90,000원
- 1개월 강습(이용료+강습료)
일 반 110,000원(50,000원+60,000원)
청소년 100,000원(40,000원+60,000원)
- 3개월 강습(이용료+강습료)
일 반 300,000원(120,000원+180,000원)
청소년 270,000원( 90,000원+180,000원)
 
2. 배드민턴(2층 다목적관 8면) ⇒ 강습, 일일(월)이용
- 이용시간 : 월,화,수,금 18:00~22:00
토,공휴일 09:00~22:00
- 이용료
1회(2시간) / 1개월 / 3개월
일반?청소년 2,000원/30,000원/75,000원
- 1개월 강습(이용료+강습료)
일반?청소년 150,000원(30,000원+120,000원)
- 3개월 강습(이용료+강습료)
일반?청소년 435,000원(75,000원+360,000원)
 
3. 족구(2층 다목적관) ⇒ 일일이용
- 이용시간 : 목요일 18:00~22:00
- 이용료
1회(2시간) : 2,000원(일반?청소년)
 
4. 스쿼시(3층 스쿼시장 4면) ⇒ 강습, 일일(월)이용
- 이용시간 : : 평 일 09:00~14:00, 18:00~22:00
토요일 13:00~1800
- 이용료
1회(2시간) / 1개월 / 3개월
일 반 7,000원/70,000원/180,000원
청소년 6,000원/60,000원/150,000원
- 1개월 강습(이용료+강습료)
일 반 100,000원(70,000원+30,000원)
청소년 90,000원(60,000원+30,000원)
- 3개월 강습(이용료+강습료)
일 반 270,000원(180,000원+90,000원)
청소년 240,000원(150,000원+90,000원)"
A010,광주국제양궁장,10:00~16:00,"1,000",
A011,광주-기아챔피언스필드,,,
A012,광주실내빙상장,"월요일 09:00 - 17:00
평일 09:00 - 17:30 17시 40분까지 이용가능
토요일 오전 09:30 - 11:30
토요일 오후 13:00 - 17:00","성일(4,000), 청소년(3,500), 어린이(3,000)","정빙 시간 - 11:50 ~ 13:00, 15:40 ~ 16:00, 16:40 ~ 17:00"
A013,광주여대시립유니버시아드체육관,,,
A014,"광주월드컵경기장
보조경기장",09:00 ~ 18:00,400,"▶ 이용금액

- 평일 500,000원 

- 주말 : 750,000원"
A015,"광주월드컵경기장
주경기장",09:00 ~ 18:00,400,1회 : 2시간
A016,"광주장애인종합복지관
수영장",,,
A017,광천동 족구장,,,
A018,광화 게이트볼장,,,
A019,금호 게이트볼장,"동절기 09:00~17:00
하절기 07:00~19:00",무료,
A020,남구 청소년수련관 수영장,평일 06:00~21:00?,,http://www.ngyouth.co.kr/page/swim_schedule
A021,남구다목적체육관,주중 09:00 ~ 18:00,,http://namgumultigym.co.kr/main/?
A022,남부대시립국제수영장,"평일 06:00 - 20:30
토요일 06:00 - 17:00
일요일 09:00 - 17:00",,
A023,농성동 테니스장,,,
